iter	Passed	Remaining
1494	47622	16086
1495	47645	16051
1496	47692	16024
1497	47735	15996
1498	47765	15964
1499	47799	15933
1500	47841	15904
1501	47864	15869
1502	47889	15835
1503	47917	15802
1504	47942	15768
1505	47972	15736
1506	47995	15701
1507	48022	15667
1508	48048	15633
1509	48073	15599
1510	48100	15566
1511	48119	15530
1512	48145	15496
1513	48171	15463
1514	48194	15428
1515	48223	15395
1516	48244	15360
1517	48263	15324
1518	48288	15290
1519	48327	15261
1520	48353	15227
1521	48399	15200
1522	48427	15167
1523	48456	15134
1524	48492	15104
1525	48515	15069
1526	48563	15042
1527	48596	15011
1528	48617	14976
1529	48641	14942
1530	48676	14911
1531	48702	14877
1532	48734	14846
1533	48770	14815
1534	48809	14786
1535	48855	14758
1536	48897	14729
1537	48924	14696
1538	48968	14668
1539	49025	14643
1540	49052	14610
1541	49094	14581
1542	49125	14549
1543	49166	14520
1544	49198	14488
1545	49226	14456
1546	49269	14427
1547	49292	14392
1548	49326	14361
1549	49350	14327
1550	49388	14297
1551	49411	14263
1552	49457	14235
1553	49486	14202
1554	49517	14170
1555	49553	14140
1556	49580	14106
1557	49604	14072
1558	49660	14047
1559	49688	14014
1560	49714	13981
1561	49741	13948
1562	49785	13919
1563	49834	13892
1564	49873	13862
1565	49898	13828
1566	49942	13800
1567	49989	13772
1568	50027	13742
1569	50062	13711
1570	50092	13678
1571	50115	13644
1572	50139	13610
1573	50183	13582
1574	50225	13552
1575	50262	13522
1576	50290	13489
1577	50320	13457
1578	50361	13427
1579	50388	13394
1580	50433	13366
1581	50462	13333
1582	50488	13299
1583	50535	13272
1584	50572	13241
1585	50591	13206
1586	50618	13172
1587	50663	13144
1588	50695	13112
1589	50755	13087
1590	50811	13062
1591	50849	13031
1592	50898	13004
1593	50926	12971
1594	50958	12939
1595	50995	12908
1596	51020	12874
1597	51056	12843
1598	51093	12813
1599	51118	12779
1600	51142	12745
1601	51170	12712
1602	51206	12681
1603	51250	12652
1604	51283	12621
1605	51317	12589
1606	51360	12560
1607	51394	12529
1608	51434	12498
1609	51458	12465
1610	51482	12431
1611	51526	12402
1612	51562	12371
1613	51588	12337
1614	51616	12304
1615	51670	12278
1616	51695	12244
1617	51730	12213
1618	51763	12181
1619	51801	12151
1620	51831	12118
1621	51863	12086
1622	51894	12054
1623	51923	12021
1624	51952	11989
1625	51989	11958
1626	52031	11928
1627	52068	11897
1628	52094	11864
1629	52123	11831
1630	52162	11801
1631	52206	11772
1632	52233	11739
1633	52261	11706
1634	52300	11675
1635	52323	11641
1636	52377	11614
1637	52403	11581
1638	52434	11549
1639	52468	11517
1640	52504	11486
1641	52536	11454
1642	52566	11422
1643	52599	11390
1644	52632	11358
1645	52672	11328
1646	52725	11300
1647	52769	11271
1648	52806	11240
1649	52839	11208
1650	52873	11176
1651	52916	11147
1652	52941	11113
1653	52986	11084
1654	53023	11053
1655	53052	11020
1656	53091	10989
1657	53125	10958
1658	53164	10927
1659	53198	10896
1660	53227	10863
1661	53254	10830
1662	53288	10798
1663	53319	10766
